時間,軸1,軸2,軸3,軸4,軸5,軸6,軸7,軸8,軸9,軸10
083504,0NM,0NM,0NM,0NM,0NM,0NM,0NM,0NM,0NM,0NM,
083949,3.056NM,3.029NM,2.927NM,3.002NM,3.077NM,3.081NM,3.092NM,3.085NM,0NM,0NM,
084012,3.014NM,3.016NM,2.897NM,3.025NM,3.075NM,3.123NM,3.13NM,3.115NM,0NM,0NM,
084035,3.016NM,3.043NM,2.963NM,3.021NM,3.058NM,3.1NM,3.13NM,3.142NM,0NM,0NM,
084057,3.052NM,3.035NM,2.913NM,2.993NM,3.021NM,3.161NM,3.06NM,3.144NM,0NM,0NM,
084120,2.981NM,2.978NM,2.996NM,3.073NM,3.052NM,3.138NM,3.151NM,3.136NM,0NM,0NM,
090633,3.006NM,3.006NM,2.918NM,3.044NM,3.041NM,3.111NM,3.119NM,3.144NM,0NM,0NM,
090708,3.085NM,2.976NM,2.923NM,3.02NM,2.991NM,3.15NM,3.125NM,3.115NM,0NM,0NM,
090929,3.014NM,3.081NM,2.95NM,3.006NM,3.027NM,3.069NM,3.098NM,3.096NM,0NM,0NM,
090950,3.048NM,3.041NM,2.871NM,3.054NM,3.006NM,3.199NM,3.14NM,3.086NM,0NM,0NM,
091009,3NM,2.987NM,2.929NM,3.031NM,2.987NM,3.098NM,3.1NM,3.1NM,0NM,0NM,
091042,3.006NM,3.046NM,2.932NM,3.052NM,3.06NM,3.127NM,3.102NM,3.107NM,0NM,0NM,
091112,3.01NM,3.01NM,2.934NM,2.979NM,3.048NM,3.129NM,3.106NM,3.142NM,0NM,0NM,
091131,3.056NM,2.997NM,2.906NM,3.043NM,2.991NM,3.176NM,3.109NM,3.132NM,0NM,0NM,
091148,3.014NM,2.999NM,2.906NM,3.037NM,3.054NM,3.113NM,3.077NM,3.125NM,0NM,0NM,
091207,3.01NM,2.995NM,2.918NM,2.999NM,2.968NM,3.157NM,3.075NM,3.151NM,0NM,0NM,
091248,3.027NM,3.029NM,2.965NM,3.018NM,3.021NM,3.197NM,3.127NM,3.146NM,0NM,0NM,
091306,2.989NM,3.056NM,2.923NM,2.985NM,3.002NM,3.113NM,3.226NM,3.172NM,0NM,0NM,
091325,3.021NM,2.989NM,2.878NM,3.044NM,3.008NM,3.077NM,3.092NM,3.109NM,0NM,0NM,
092259,3.02NM,2.981NM,2.887NM,3.006NM,3.058NM,3.092NM,3.119NM,3.098NM,0NM,0NM,
092324,3.035NM,3.008NM,2.854NM,3.054NM,3.086NM,3.159NM,3.077NM,3.18NM,0NM,0NM,
092343,3.029NM,2.999NM,2.922NM,3.006NM,3.008NM,3.094NM,3.102NM,3.113NM,0NM,0NM,
092401,3.002NM,3.027NM,2.913NM,3.048NM,3.01NM,3.172NM,3.113NM,3.1NM,0NM,0NM,
092418,3.027NM,3.029NM,2.889NM,3.031NM,3.035NM,3.172NM,3.134NM,3.129NM,0NM,0NM,
092440,3.077NM,3.069NM,2.903NM,2.974NM,3.037NM,3.138NM,3.201NM,3.148NM,0NM,0NM,
092517,3.025NM,2.993NM,2.894NM,3.033NM,2.989NM,3.171NM,3.167NM,3.13NM,0NM,0NM,
092538,3.088NM,2.991NM,2.91NM,2.999NM,3.067NM,3.119NM,3.102NM,3.169NM,0NM,0NM,
092555,3.056NM,3.023NM,2.904NM,3.052NM,2.993NM,3.157NM,3.098NM,3.136NM,0NM,0NM,
092613,3.014NM,3.043NM,2.915NM,3.018NM,3.05NM,3.19NM,3.088NM,3.13NM,0NM,0NM,
092655,3.025NM,2.983NM,2.979NM,2.997NM,3.008NM,3.165NM,3.113NM,3.15NM,0NM,0NM,
131822,0NM,3.018NM,2.873NM,2.974NM,3.002NM,3.085NM,3.165NM,3.113NM,0NM,0NM,
131839,3.01NM,2.993NM,2.91NM,3.056NM,3.075NM,3.09NM,3.14NM,3.1NM,0NM,0NM,
131858,3.018NM,3.002NM,2.932NM,2.981NM,2.976NM,3.096NM,3.121NM,3.182NM,0NM,0NM,
131918,3.044NM,2.989NM,2.925NM,3.002NM,3.06NM,0NM,3.096NM,3.14NM,0NM,0NM,
160244,3.046NM,3.023NM,2.918NM,3.06NM,3.056NM,3.048NM,3.033NM,3.043NM,3.129NM,3.127NM,
161030,3.075NM,3.018NM,2.927NM,3.033NM,3NM,3.094NM,3.073NM,3.052NM,3.125NM,3.151NM,
161048,3.052NM,3.031NM,2.92NM,3.05NM,2.997NM,2.997NM,3.018NM,3.016NM,3.106NM,3.186NM,
161114,3.088NM,3.004NM,2.951NM,3.054NM,3.043NM,3.065NM,3.008NM,3.044NM,3.178NM,3.195NM,
161134,3.01NM,3.035NM,2.923NM,3.002NM,3.023NM,3.035NM,3.058NM,3.037NM,3.176NM,3.125NM,
161153,3.092NM,3.01NM,2.883NM,3.006NM,3.043NM,3.023NM,3.09NM,3.062NM,3.213NM,3.211NM,
161210,3.046NM,3.025NM,2.906NM,3.012NM,3.02NM,3.1NM,3.014NM,3.065NM,3.153NM,3.15NM,
161236,3.037NM,3.056NM,2.972NM,3.085NM,3.096NM,3.054NM,3.035NM,3.021NM,3.281NM,3.171NM,
161258,3.031NM,3.023NM,2.967NM,2.999NM,3.033NM,3.058NM,3.027NM,3.027NM,3.169NM,3.165NM,
161316,3.035NM,3.02NM,2.932NM,3.008NM,3.062NM,3.088NM,3.067NM,3.054NM,3.247NM,3.236NM,
161338,3.023NM,3.044NM,2.916NM,3.025NM,3.021NM,3.056NM,3.054NM,2.995NM,3.176NM,3.155NM,
161359,3.046NM,3NM,2.882NM,3.027NM,3.02NM,3.085NM,3.058NM,3.031NM,3.213NM,3.19NM,
161434,3.046NM,2.999NM,2.915NM,3.056NM,2.97NM,2.966NM,3.035NM,3.016NM,3.077NM,3.104NM,
161452,3.016NM,3.025NM,2.904NM,3.018NM,3.077NM,3.02NM,3.041NM,2.991NM,3.085NM,3.14NM,
161512,3.058NM,2.974NM,2.929NM,3NM,3.043NM,3.031NM,3.01NM,3.043NM,3.111NM,3.132NM,
162906,3.043NM,3.058NM,2.916NM,3.075NM,3.05NM,3.104NM,3.037NM,3.023NM,3.123NM,3.086NM,
162921,3.067NM,3.033NM,2.913NM,3.016NM,3.058NM,3.062NM,3.073NM,3.085NM,3.119NM,3.138NM,
163000,3.039NM,3.021NM,2.932NM,3.008NM,3.069NM,3.071NM,3.069NM,2.999NM,3.211NM,3.199NM,
163029,3.039NM,3.073NM,2.894NM,3.021NM,3.025NM,3.069NM,3.058NM,3.035NM,3.157NM,3.157NM,
